ANO;MES;MONTH_;QUINCENA;TRIMESTRE;MARCA;LINEA;FAMILIA;MODELO;SERVICIO;SEGMENTO;TAMANO;OBJETIVO;OBJECTIVE;TIPO;COMBUSTIBLE;STATUS;NACIONAL_IMPORT;DEPARTAMENTO;CANTIDAD
2011;1;MARCH;Primera Quincena;1Q;RENAULT;LOGAN FAMILIER;LOGAN;2010;Particular;Automóvil;B;Bajo;Low;SEDAN;;CBU;IMPORTADO;Atlantico;1
2011;1;MARCH;Primera Quincena;1Q;HYUNDAI;ATOS PRIME GL;ATOS;2010;Público;Automóvil;A;Bajo;Low;HATCHBACK;;CBU;IMPORTADO;Bogota D.C.;1
2011;1;MARCH;Primera Quincena;1Q;HYUNDAI;ACCENT GLS;ACCENT;2010;Particular;Automóvil;B;Medio;Medium;SEDAN;;CBU;NACIONAL;Bogota D.C.;1
2011;1;MARCH;Primera Quincena;1Q;HYUNDAI;ACCENT GLS;ACCENT;2010;Particular;Automóvil;B;Medio;Medium;SEDAN;;CBU;NACIONAL;Bogota D.C.;1
2011;1;MARCH;Primera Quincena;1Q;HYUNDAI;ACCENT GLS;ACCENT;2010;Particular;Automóvil;B;Medio;Medium;SEDAN;;CBU;IMPORTADO;Cundinamarca;1
2011;1;MARCH;Primera Quincena;1Q;JINBEI;SY6483Q;;2008;Público;INCONSISTENCIA;;;;;;CBU;IMPORTADO;Antioquia;3
2011;1;MARCH;Primera Quincena;1Q;KIA;PREGIO;PREGIO;2010;Público;Van;C;Medio;Medium;PASAJEROS;;CKD;IMPORTADO;Cundinamarca;1
2011;1;MARCH;Primera Quincena;1Q;KIA;RIO LS;;2009;Público;INCONSISTENCIA;;;;;;CKD;IMPORTADO;Magdalena;1
2011;1;MARCH;Primera Quincena;1Q;RENAULT;LOGAN FAMILIER;LOGAN;2010;Particular;Automóvil;B;Bajo;Low;SEDAN;;CBU;NACIONAL;Bogota D.C.;1
2011;1;MARCH;Primera Quincena;1Q;CHEVROLET;AVEO;AVEO;2010;Particular;Automóvil;B;Bajo;Low;SEDAN;;CBU;IMPORTADO;Huila;1
2011;1;MARCH;Primera Quincena;1Q;HONDA;PILOT EX;PILOT;2010;Particular;SUV;D;Medio;Medium;;;CBU;IMPORTADO;Bogota D.C.;1
2011;1;MARCH;Primera Quincena;1Q;CHERY;QQ3;;2009;Particular;INCONSISTENCIA;;;;;;CBU;NACIONAL;Bogota D.C.;1
2011;1;MARCH;Primera Quincena;1Q;CITROEN;JUMPER FV35 L3H2 2.2 HDI;;2009;Público;INCONSISTENCIA;;;;;;CBU;IMPORTADO;Cundinamarca;1
